steamid,appid,playtime_minutes
76561197972156958,201280,0
76561197972156958,201790,0
76561197972156958,202270,89
76561197972156958,202390,0
76561197972156958,204060,0
76561197972156958,204120,0
76561197972156958,204220,0
76561197972156958,204300,640
76561197972156958,205230,90
76561197972156958,207080,0
76561197972156958,207170,0
76561197972156958,207420,0
76561197972156958,209830,0
76561197972156958,210770,113
76561197972156958,211260,0
76561197972156958,211360,4
76561197972156958,212680,498
76561197972156958,213030,2
76561197972156958,213670,1057
76561197972156958,214560,96
76561197972156958,214770,49
76561197972156958,214790,0
76561197972156958,218130,505
76561197972156958,218620,0
76561197972156958,218640,153
76561197972156958,219150,0
76561197972156958,219740,149
76561197972156958,220240,663
76561197972156958,220440,96
76561197972156958,220780,26
76561197972156958,221910,46
76561197972156958,222750,241
76561197972156958,224760,0
76561197972156958,225080,124
76561197972156958,226620,28
76561197972156958,228200,115
76561197972156958,231430,49
76561197972156958,234650,0
76561197972156958,234670,685
76561197972156958,236090,520
76561197972156958,237930,114
76561197972156958,238130,0
76561197972156958,241600,679
76561197972156958,241930,334
76561197972156958,245170,0
76561197972156958,246070,0
76561197972156958,246090,0
76561197972156958,246110,8
76561197972156958,250760,10
76561197972156958,252410,0
76561197972156958,255300,111
76561197972156958,256290,1383
76561197972156958,258970,0
76561197972156958,261570,2827
76561197972156958,262060,24
76561197972156958,274190,51
76561197972156958,275390,0
76561197972156958,285190,87
76561197972156958,286160,601
76561197972156958,292030,1530
76561197972156958,311690,840
76561197972156958,322330,0
76561197972156958,327030,195
76561197972156958,327670,58
76561197972156958,346110,46
76561197972156958,356190,0
76561197972156958,359550,211
76561197972156958,366320,305
76561197972156958,367520,645
76561197972156958,379720,62
76561197972156958,388410,1057
76561197972156958,391220,1272
76561197972156958,407530,0
76561197972156958,431240,38
76561197972156958,462770,0
76561197972156958,462780,311
76561197972156958,485510,6900
76561197972156958,489630,46
76561197972156958,526870,0
76561197972156958,527430,633
76561197972156958,548430,251
76561197972156958,552500,53
76561197972156958,553850,1270
76561197972156958,582010,16023
76561197972156958,588650,156
76561197972156958,623990,0
76561197972156958,646570,489
76561197972156958,678950,696
76561197972156958,729040,875
76561197972156958,774861,0
76561197972156958,813780,352
76561197972156958,892970,2311
76561197972156958,921570,961
76561197972156958,945360,1470
76561197972156958,976310,89
76561197972156958,1016920,111
76561197972156958,1018830,199
76561197972156958,1042800,0
76561197972156958,1057090,2896
76561197972156958,1062810,2927
76561197972156958,1085660,325
76561197972156958,1086940,8809
76561197972156958,1145360,1282
76561197972156958,1172380,488
76561197972156958,1245620,5207
76561197972156958,1267910,13491
76561197972156958,1294660,0
76561197972156958,1313140,346
76561197972156958,1422450,920
76561197972156958,1446780,7215
76561197972156958,1604030,272
76561197972156958,1623730,4411
76561197972156958,1712840,0
76561197972156958,1794680,1575
76561197972156958,1903340,0
76561197972156958,1971650,0
76561197972156958,2221920,1311
76561197972156958,2246340,5257
76561197972156958,2321470,262
76561197972156958,2322010,438
76561197972156958,2334730,509
76561197972156958,2694490,5922
76561197972649538,220,0
76561197972649538,240,1683
76561197972649538,320,0
76561197972649538,360,0
76561197972649538,730,25831
76561197972649538,23490,0
76561197972649538,107410,319
76561197972649538,200710,431
76561197972649538,203160,55
76561197972649538,208650,6301
76561197972649538,209000,1414
76561197972649538,218620,125
76561197972649538,221100,145
76561197972649538,221380,292
76561197972649538,231430,0
76561197972649538,241930,201
76561197972649538,273350,1080
76561197972649538,311560,491
76561197972649538,346110,8584
76561197972649538,360830,35
76561197972649538,391220,985
76561197972649538,407530,0
76561197972649538,437920,161
76561197972649538,526870,0
76561197972649538,582010,4958
76561197972649538,582160,8524
76561197972649538,582660,252
76561197972649538,641990,176
76561197972649538,645630,52
76561197972649538,678950,1269
76561197972649538,813780,37
76561197972649538,851850,4430
76561197972649538,892970,290
76561197972649538,945360,431
76561197972649538,962130,11027
76561197972649538,985890,1792
76561197972649538,1063730,9695
76561197972649538,1078760,2
76561197972649538,1085660,2558
76561197972649538,1091500,4160
76561197972649538,1151640,2881
76561197972649538,1172620,282
76561197972649538,1222730,185
76561197972649538,1422450,0
76561197972649538,1446780,3018
76561197972649538,1515950,0
76561197972649538,2920570,130
76561198011629606,240,4848
76561198011629606,300,0
76561198011629606,320,0
76561198011629606,440,4499
76561198011629606,550,3660
76561198011629606,570,140
76561198011629606,620,45
76561198011629606,730,274817
76561198011629606,11450,0
76561198011629606,12710,4
76561198011629606,12810,6
76561198011629606,15170,1
76561198011629606,18040,0
76561198011629606,18050,0
76561198011629606,24420,3
76561198011629606,34330,0
76561198011629606,35140,0
76561198011629606,35720,37
76561198011629606,41070,619
76561198011629606,42910,231
76561198011629606,43110,84
76561198011629606,48220,317
76561198011629606,49520,1548
76561198011629606,50650,1184
76561198011629606,55230,662
76561198011629606,102600,84
76561198011629606,104700,1
76561198011629606,105600,5760
76561198011629606,201790,2255
76561198011629606,203630,116
76561198011629606,210770,656
76561198011629606,218620,397
76561198011629606,221380,1
76561198011629606,223850,1070
76561198011629606,231430,149
76561198011629606,234190,1
76561198011629606,236110,317
76561198011629606,242760,431
76561198011629606,252490,0
76561198011629606,252950,2108
76561198011629606,257420,323
76561198011629606,261640,1262
76561198011629606,265300,119
76561198011629606,265590,0
76561198011629606,271590,6886
76561198011629606,273500,282
76561198011629606,277890,0
76561198011629606,278360,0
76561198011629606,283290,2
76561198011629606,289070,11
76561198011629606,292030,4513
76561198011629606,298900,0
76561198011629606,300580,0
76561198011629606,304050,5886
76561198011629606,304390,1437
76561198011629606,306130,1518
76561198011629606,306670,1
76561198011629606,311210,181
76561198011629606,315210,610
76561198011629606,318600,0
76561198011629606,321040,0
76561198011629606,321400,26
76561198011629606,322330,452
76561198011629606,323190,42
76561198011629606,346110,28368
76561198011629606,356190,362
76561198011629606,359340,0
76561198011629606,359550,656
76561198011629606,362680,0
76561198011629606,364360,1373
76561198011629606,368260,224
76561198011629606,368340,0
76561198011629606,373480,0
76561198011629606,377160,1315
76561198011629606,379720,75
76561198011629606,381210,162
76561198011629606,390290,0
76561198011629606,394510,3
76561198011629606,397540,2363
76561198011629606,407530,0
76561198011629606,410320,100
76561198011629606,412020,211
76561198011629606,431240,273
76561198011629606,435150,6723
76561198011629606,440540,655
76561198011629606,464170,0
76561198011629606,470220,91
76561198011629606,489830,1950
76561198011629606,493340,1110
