steamid,appid,playtime_minutes
76561198072785106,214590,0
76561198072785106,214610,314
76561198072785106,215510,0
76561198072785106,215670,0
76561198072785106,218620,0
76561198072785106,219740,4252
76561198072785106,219990,0
76561198072785106,220200,24
76561198072785106,220780,0
76561198072785106,220900,0
76561198072785106,221380,0
76561198072785106,221640,69
76561198072785106,221910,146
76561198072785106,224060,133
76561198072785106,224480,84
76561198072785106,224960,0
76561198072785106,224980,0
76561198072785106,225000,0
76561198072785106,225020,0
76561198072785106,225080,0
76561198072785106,225300,82
76561198072785106,225320,0
76561198072785106,228960,0
76561198072785106,232430,0
76561198072785106,233450,0
76561198072785106,233720,192
76561198072785106,238370,0
76561198072785106,238460,0
76561198072785106,239820,1409
76561198072785106,240720,0
76561198072785106,242050,131
76561198072785106,244430,0
76561198072785106,245170,0
76561198072785106,245470,362
76561198072785106,245620,117
76561198072785106,246620,2527
76561198072785106,247020,1947
76561198072785106,247080,44
76561198072785106,248650,83
76561198072785106,250180,0
76561198072785106,250620,0
76561198072785106,251210,9
76561198072785106,251830,662
76561198072785106,251990,911
76561198072785106,252110,142
76561198072785106,252330,0
76561198072785106,252490,219
76561198072785106,252950,307
76561198072785106,253230,212
76561198072785106,254060,0
76561198072785106,257170,0
76561198072785106,261570,0
76561198072785106,263460,114
76561198072785106,264200,634
76561198072785106,264710,0
76561198072785106,265890,182
76561198072785106,265930,6
76561198072785106,266010,2904
76561198072785106,266840,191
76561198072785106,268500,1144
76561198072785106,269010,0
76561198072785106,269030,0
76561198072785106,269250,0
76561198072785106,270210,0
76561198072785106,271590,206
76561198072785106,271900,311
76561198072785106,272040,26
76561198072785106,273500,1
76561198072785106,279480,0
76561198072785106,282070,0
76561198072785106,283920,0
76561198072785106,283940,0
76561198072785106,283960,57
76561198072785106,283980,168
76561198072785106,284000,0
76561198072785106,284020,0
76561198072785106,286000,0
76561198072785106,286160,345
76561198072785106,286260,0
76561198072785106,290380,207
76561198072785106,290790,0
76561198072785106,291030,231
76561198072785106,292030,1720
76561198072785106,292240,92
76561198072785106,292260,0
76561198072785106,292280,0
76561198072785106,292300,0
76561198072785106,292780,0
76561198072785106,292800,0
76561198072785106,292820,0
76561198072785106,292840,26
76561198072785106,292860,0
76561198072785106,294530,0
76561198072785106,294540,0
76561198072785106,294550,0
76561198072785106,294570,0
76561198072785106,294580,0
76561198072785106,294650,0
76561198072785106,294660,48
76561198072785106,294670,59
76561198072785106,294680,0
76561198072785106,294690,0
76561198072785106,294700,0
76561198072785106,294710,0
76561198072785106,294720,0
76561198072785106,296470,0
76561198072785106,300380,0
76561198072785106,304410,36517
76561198072785106,310080,21
76561198072785106,313740,37
76561198072785106,314020,0
76561198072785106,314660,0
76561198072785106,317020,0
76561198072785106,317030,0
76561198072785106,317280,0
76561198072785106,321040,0
76561198072785106,322330,2939
76561198072785106,324160,136
76561198072785106,324650,0
76561198072785106,327030,0
76561198072785106,333600,41
76561198072785106,335790,0
76561198072785106,337150,0
76561198072785106,339800,726
76561198072785106,341000,17
76561198072785106,341800,811
76561198072785106,342380,0
76561198072785106,344770,0
76561198072785106,346110,0
76561198072785106,347620,765
76561198072785106,348950,0
76561198072785106,358750,0
76561198072785106,359550,58
76561198072785106,359580,0
76561198072785106,359960,0
76561198072785106,363050,0
76561198072785106,363060,150
76561198072785106,363070,0
76561198072785106,365450,22
76561198072785106,367450,279
76561198072785106,367520,286
76561198072785106,367670,1
76561198072785106,368160,0
76561198072785106,368230,0
76561198072785106,370360,6
76561198072785106,375200,0
76561198072785106,375820,100
76561198072785106,376760,0
76561198072785106,376770,0
76561198072785106,377160,1108
76561198072785106,377680,0
76561198072785106,377710,0
76561198072785106,377720,0
76561198072785106,381780,0
76561198072785106,383460,0
76561198072785106,383580,0
76561198072785106,385710,0
76561198072785106,385800,0
76561198072785106,386620,3189
76561198072785106,386940,362
76561198072785106,386970,0
76561198072785106,387290,0
76561198072785106,388550,0
76561198072785106,391220,1303
76561198072785106,391540,0
76561198072785106,392030,0
76561198072785106,397080,0
76561198072785106,397340,0
76561198072785106,398850,51
76561198072785106,400630,16
76561198072785106,403180,0
76561198072785106,405640,0
76561198072785106,407530,0
76561198072785106,407980,0
76561198072785106,409710,0
76561198072785106,409720,0
76561198072785106,413150,1195
76561198072785106,416770,195
76561198072785106,420110,0
76561198072785106,424840,0
76561198072785106,425580,131
76561198072785106,426000,96
76561198072785106,426690,89
76561198072785106,431240,0
76561198072785106,433340,1712
76561198072785106,435120,0
76561198072785106,438130,0
76561198072785106,440650,0
76561198072785106,442070,34
76561198072785106,448510,1
76561198072785106,451760,0
76561198072785106,456750,35
76561198072785106,460810,0
76561198072785106,464080,404
76561198072785106,464340,0
76561198072785106,464350,92
76561198072785106,465650,0
76561198072785106,475550,479
76561198072785106,476240,0
76561198072785106,487430,0
76561198072785106,491950,426
76561198072785106,496300,0
76561198072785106,503560,1034
76561198072785106,504130,0
76561198072785106,504210,0
76561198072785106,510420,0
76561198072785106,511820,0
76561198072785106,527190,0
76561198072785106,528180,0
76561198072785106,532110,0
76561198072785106,534360,0
76561198072785106,535230,0
76561198072785106,535930,1516
76561198072785106,537800,0
76561198072785106,544330,0
76561198072785106,548430,585
76561198072785106,551110,11
76561198072785106,555150,0
76561198072785106,555640,81
76561198072785106,556180,0
76561198072785106,574050,3395
76561198072785106,575510,0
76561198072785106,576500,0
