user_steamid,friend_steamid
76561198071217691,76561198133845992
76561198071217691,76561198147591364
76561198071217691,76561198165005368
76561198071217691,76561198175056433
76561198071217691,76561198192248563
76561198071217691,76561198207372372
76561198071217691,76561198215203889
76561198071217691,76561198232980740
76561198071217691,76561198251495284
76561198071217691,76561198262586031
76561198071217691,76561198389496461
76561198071217691,76561198801888857
76561198859934865,76561198250186184
76561198859934865,76561198273890022
76561198859934865,76561198362520139
76561198859934865,76561198826448458
76561198859934865,76561198833850417
76561198859934865,76561198835947673
76561198859934865,76561198931323207
76561198859934865,76561199000068239
76561198859934865,76561199012210109
76561198859934865,76561199026751950
76561198859934865,76561199080289005
76561198859934865,76561199191743428
76561198859934865,76561199222652246
76561198011971157,76561197960353623
76561198011971157,76561197960362796
76561198011971157,76561197961544007
76561198011971157,76561197962325334
76561198011971157,76561197964074481
76561198011971157,76561197969274239
76561198011971157,76561197970882871
76561198011971157,76561197971112444
76561198011971157,76561197971866241
76561198011971157,76561197972618878
76561198011971157,76561197972909012
76561198011971157,76561197973901572
76561198011971157,76561197974815062
76561198011971157,76561197974888773
76561198011971157,76561197976963193
76561198011971157,76561197980419929
76561198011971157,76561197981263461
76561198011971157,76561197983019808
76561198011971157,76561197984268532
76561198011971157,76561197986599322
76561198011971157,76561197988910768
76561198011971157,76561197990662195
76561198011971157,76561197990956564
76561198011971157,76561197991191100
76561198011971157,76561197992549733
76561198011971157,76561197992819757
76561198011971157,76561197993966462
76561198011971157,76561197995299198
76561198011971157,76561197995309892
76561198011971157,76561197995323941
76561198011971157,76561197996677344
76561198011971157,76561197996942987
76561198011971157,76561197997477524
76561198011971157,76561197998688851
76561198011971157,76561198000435206
76561198011971157,76561198001519481
76561198011971157,76561198002518699
76561198011971157,76561198002677482
76561198011971157,76561198003296122
76561198011971157,76561198003993687
76561198011971157,76561198005240505
76561198011971157,76561198007406976
76561198011971157,76561198008273409
76561198011971157,76561198008623615
76561198011971157,76561198008848622
76561198011971157,76561198011458298
76561198011971157,76561198011630174
76561198011971157,76561198011911439
76561198011971157,76561198012509285
76561198011971157,76561198013804668
76561198011971157,76561198014185916
76561198011971157,76561198014898258
76561198011971157,76561198015524811
76561198011971157,76561198015875705
76561198011971157,76561198017586284
76561198011971157,76561198018695785
76561198011971157,76561198018949075
76561198011971157,76561198019001705
76561198011971157,76561198020380173
76561198011971157,76561198021180757
76561198011971157,76561198022045601
76561198011971157,76561198022707936
76561198011971157,76561198023648110
76561198011971157,76561198024667643
76561198011971157,76561198024702888
76561198011971157,76561198025639998
76561198011971157,76561198026296362
76561198011971157,76561198026443718
76561198011971157,76561198026976833
76561198011971157,76561198027428237
76561198011971157,76561198028174678
76561198011971157,76561198028634777
76561198011971157,76561198028921549
76561198011971157,76561198029103648
76561198011971157,76561198031588328
76561198011971157,76561198031588391
76561198011971157,76561198031922775
76561198011971157,76561198033134646
76561198011971157,76561198033143558
76561198011971157,76561198033171359
76561198011971157,76561198033337962
76561198011971157,76561198033353414
76561198011971157,76561198033760933
76561198011971157,76561198034442694
76561198011971157,76561198034772325
76561198011971157,76561198035380809
76561198011971157,76561198035443576
76561198011971157,76561198035834132
76561198011971157,76561198036588921
76561198011971157,76561198037779733
76561198011971157,76561198038672159
76561198011971157,76561198038814775
76561198011971157,76561198040627172
76561198011971157,76561198040758131
76561198011971157,76561198041062701
76561198011971157,76561198042789697
76561198011971157,76561198043161741
76561198011971157,76561198043406073
76561198011971157,76561198043650610
76561198011971157,76561198044313845
76561198011971157,76561198044483968
76561198011971157,76561198044676102
76561198011971157,76561198044910738
76561198011971157,76561198045259391
76561198011971157,76561198045430422
76561198011971157,76561198046007647
76561198011971157,76561198046468881
76561198011971157,76561198048255329
76561198011971157,76561198048830957
76561198011971157,76561198048993506
76561198011971157,76561198048995966
76561198011971157,76561198050644374
76561198011971157,76561198050820777
76561198011971157,76561198051036654
76561198011971157,76561198051264190
76561198011971157,76561198051800979
76561198011971157,76561198051872154
76561198011971157,76561198051919062
76561198011971157,76561198052056543
76561198011971157,76561198052121771
76561198011971157,76561198052417128
76561198011971157,76561198052442305
76561198011971157,76561198052958159
76561198011971157,76561198054396735
76561198011971157,76561198054736050
76561198011971157,76561198055813474
76561198011971157,76561198055827854
76561198011971157,76561198056135983
76561198011971157,76561198056980965
76561198011971157,76561198057027099
76561198011971157,76561198057229597
76561198011971157,76561198057280566
76561198011971157,76561198057284874
76561198011971157,76561198057765282
76561198011971157,76561198059735762
76561198011971157,76561198060189653
76561198011971157,76561198060894663
76561198011971157,76561198061568877
76561198011971157,76561198061705862
76561198011971157,76561198062109767
76561198011971157,76561198063510077
76561198011971157,76561198065904454
76561198011971157,76561198066539892
76561198011971157,76561198068338888
76561198011971157,76561198068696686
76561198011971157,76561198068957531
76561198011971157,76561198070606018
76561198011971157,76561198071010906
76561198011971157,76561198072239532
76561198011971157,76561198073616581
76561198011971157,76561198074861500
76561198011971157,76561198075127984
76561198011971157,76561198075786503
76561198011971157,76561198075843015
76561198011971157,76561198075999530
76561198011971157,76561198077767262
76561198011971157,76561198078030275
76561198011971157,76561198078590641
76561198011971157,76561198078684392
76561198011971157,76561198079029155
76561198011971157,76561198079261601
76561198011971157,76561198082979905
76561198011971157,76561198083245431
76561198011971157,76561198084416824
76561198011971157,76561198087064658
76561198011971157,76561198087857120
76561198011971157,76561198089815151
76561198011971157,76561198090164732
76561198011971157,76561198090291876
76561198011971157,76561198092099524
76561198011971157,76561198092677424
76561198011971157,76561198094853432
76561198011971157,76561198095294359
76561198011971157,76561198095363774
76561198011971157,76561198095672225
76561198011971157,76561198095988584
76561198011971157,76561198096308782
76561198011971157,76561198097972727
76561198011971157,76561198098768907
76561198011971157,76561198101501970
76561198011971157,76561198102510831
76561198011971157,76561198104723209
76561198011971157,76561198105127980
76561198011971157,76561198106767592
76561198011971157,76561198107459093
76561198011971157,76561198109408973
76561198011971157,76561198112534449
76561198011971157,76561198113924131
76561198011971157,76561198114462178
76561198011971157,76561198115681600
76561198011971157,76561198116154332
76561198011971157,76561198117936975
76561198011971157,76561198122063354
76561198011971157,76561198122277744
76561198011971157,76561198122480295
76561198011971157,76561198123324831
76561198011971157,76561198123706350
76561198011971157,76561198124095567
76561198011971157,76561198124644792
76561198011971157,76561198126364937
76561198011971157,76561198127595049
76561198011971157,76561198127765406
76561198011971157,76561198128921995
76561198011971157,76561198129996920
76561198011971157,76561198131924743
76561198011971157,76561198132335020
76561198011971157,76561198132712817
76561198011971157,76561198133657417
76561198011971157,76561198134023062
76561198011971157,76561198134442675
76561198011971157,76561198134652921
76561198011971157,76561198135923638
76561198011971157,76561198136170257
76561198011971157,76561198136769609
76561198011971157,76561198136809318
76561198011971157,76561198136929987
76561198011971157,76561198139283451
76561198011971157,76561198141258946
76561198011971157,76561198141529100
76561198011971157,76561198142065067
76561198011971157,76561198142650242
76561198011971157,76561198143051118
76561198011971157,76561198145402502
76561198011971157,76561198146817238
76561198011971157,76561198148178449
76561198011971157,76561198150632488
76561198011971157,76561198151534064
76561198011971157,76561198151717384
76561198011971157,76561198152374864
76561198011971157,76561198152861837
76561198011971157,76561198153354793
76561198011971157,76561198154988035
76561198011971157,76561198157668857
76561198011971157,76561198161046784
76561198011971157,76561198163287910
76561198011971157,76561198165192330
76561198011971157,76561198167754380
76561198011971157,76561198168743797
76561198011971157,76561198170352105
76561198011971157,76561198170924354
76561198011971157,76561198171658075
76561198011971157,76561198172220417
76561198011971157,76561198174933129
76561198011971157,76561198179014398
76561198011971157,76561198182273539
76561198011971157,76561198184140358
76561198011971157,76561198184827633
76561198011971157,76561198188208361
76561198011971157,76561198193432221
76561198011971157,76561198195014173
76561198011971157,76561198195316527
76561198011971157,76561198198228649
76561198011971157,76561198201440649
76561198011971157,76561198201474574
76561198011971157,76561198202794803
76561198011971157,76561198203240290
76561198011971157,76561198203287367
76561198011971157,76561198204099721
76561198011971157,76561198204756133
76561198011971157,76561198205392984
76561198011971157,76561198205645940
76561198011971157,76561198205860959
