feature,xgb_baseline_mean_abs_shap,xgb_baseline_importance_share,xgb_baseline_top_interaction_feature,xgb_one_embedding_mean_abs_shap,xgb_one_embedding_importance_share,xgb_one_embedding_top_interaction_feature,combined_mean_abs_shap
"cat__publisher_Spike Chunsoft Co., Ltd.",0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Sokpop Collective,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Slitherine Ltd.,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Shiravune,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Senpai Industrial Studios,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Sekai Project,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_SEGA;Feral Interactive (Mac);Feral Interactive (Linux),0.0,0.0,,0.0,0.0,,0.0
cat__publisher_SEGA,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_SA Industry,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Cherry Kiss Games,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Rebellion,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Raw Fury,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Quiet River,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_PsychoFlux Entertainment,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Plug In Digital,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_PlayWay S.A.,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_PlayStation Publishing LLC,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Paradox Interactive,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_PLAYISM,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_OTAKU Plan,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Nacon,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Rockstar Games,0.0,0.0,,0.0,0.0,,0.0
cat__country_DK,0.0,0.0,,0.0,0.0,,0.0
cat__country_DE,0.0,0.0,,0.0,0.0,,0.0
cat__country_CZ,0.0,0.0,,0.0,0.0,,0.0
cat__country_CX,0.0,0.0,,0.0,0.0,,0.0
cat__country_CU,0.0,0.0,,0.0,0.0,,0.0
cat__country_CR,0.0,0.0,,0.0,0.0,,0.0
cat__country_CO,0.0,0.0,,0.0,0.0,,0.0
cat__country_CN,0.0,0.0,,0.0,0.0,,0.0
cat__country_CL,0.0,0.0,,0.0,0.0,,0.0
cat__country_CK,0.0,0.0,,0.0,0.0,,0.0
cat__country_CH,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_THQ Nordic,0.0,0.0,,0.0,0.0,,0.0
cat__country_CA,0.0,0.0,,0.0,0.0,,0.0
cat__country_BY,0.0,0.0,,0.0,0.0,,0.0
cat__country_BS,0.0,0.0,,0.0,0.0,,0.0
cat__country_DZ,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Volens Nolens Games,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Valve,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_United Independent Entertainment,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Ubisoft,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Tripwire Interactive,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Techland,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Team17 Digital Ltd,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Team17,0.0,0.0,,0.0,0.0,,0.0
cat__country_CC,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_ESDigital Games,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_EGC Games,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Devolver Digital,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Deep Silver,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Daybreak Game Company,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Daedalic Entertainment,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Curve Games,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Crystal Dynamics,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Conglomerate 5,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Coffee Stain Publishing,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Codemasters;Electronic Arts,0.0,0.0,,0.0,0.0,,0.0
"cat__publisher_NIS America, Inc.",0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Adventure;Indie;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Capcom,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_CD PROJEKT RED,0.0,0.0,,0.0,0.0,,0.0
"cat__publisher_CAPCOM Co., Ltd.",0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Bohemia Interactive,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Bethesda Softworks,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Bandai Namco Entertainment,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Back To Basics Gaming,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_BFG Entertainment,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_BANDAI NAMCO Entertainment,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Atari,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Choice of Games,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_My Way Games,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Microids,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_MangaGamer,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_MISSING,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Landfall,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Klei Entertainment,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Kalypso Media Digital,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Kagura Games,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_KONAMI,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_KOMODO,0.0,0.0,,0.0,0.0,,0.0
"cat__publisher_KOEI TECMO GAMES CO., LTD.",0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Electronic Arts,0.0,0.0,,0.0,0.0,,0.0
"cat__publisher_Jackbox Games, Inc.",0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Iceberg Interactive,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_HypeTrain Digital,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Hosted Games,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Headup,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_GrabTheGames,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Gearbox Publishing,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Fulqrum Publishing,0.0,0.0,,0.0,0.0,,0.0
"cat__publisher_FromSoftware, Inc.;Bandai Namco Entertainment",0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Forever Entertainment S. A.,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Focus Entertainment,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_EroticGamesClub,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_KEMCO,0.0,0.0,,0.0,0.0,,0.0
cat__country_TD,0.0,0.0,,0.0,0.0,,0.0
cat__country_SY,0.0,0.0,,0.0,0.0,,0.0
cat__country_ST,0.0,0.0,,0.0,0.0,,0.0
cat__country_SK,0.0,0.0,,0.0,0.0,,0.0
cat__country_SI,0.0,0.0,,0.0,0.0,,0.0
cat__country_SG,0.0,0.0,,0.0,0.0,,0.0
cat__country_SE,0.0,0.0,,0.0,0.0,,0.0
cat__country_RU,0.0,0.0,,0.0,0.0,,0.0
cat__country_RS,0.0,0.0,,0.0,0.0,,0.0
cat__country_RO,0.0,0.0,,0.0,0.0,,0.0
cat__country_QA,0.0,0.0,,0.0,0.0,,0.0
cat__country_PT,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Adventure;Indie;RPG;Simulation;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__country_PK,0.0,0.0,,0.0,0.0,,0.0
cat__country_PH,0.0,0.0,,0.0,0.0,,0.0
cat__country_PE,0.0,0.0,,0.0,0.0,,0.0
cat__country_NZ,0.0,0.0,,0.0,0.0,,0.0
cat__country_NO,0.0,0.0,,0.0,0.0,,0.0
cat__country_NL,0.0,0.0,,0.0,0.0,,0.0
cat__country_NE,0.0,0.0,,0.0,0.0,,0.0
cat__country_MY,0.0,0.0,,0.0,0.0,,0.0
cat__country_MX,0.0,0.0,,0.0,0.0,,0.0
cat__country_MT,0.0,0.0,,0.0,0.0,,0.0
cat__country_MO,0.0,0.0,,0.0,0.0,,0.0
cat__country_MK,0.0,0.0,,0.0,0.0,,0.0
cat__country_PL,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Bohemia Interactive,0.0,0.0,,0.0,0.0,,0.0
cat__developer_BioWare,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Bethesda Game Studios,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Avalanche Studios,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Arrowhead Game Studios,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Arkane Studios,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Alawar Casual,0.0,0.0,,0.0,0.0,,0.0
cat__developer_AMAX Interactive,0.0,0.0,,0.0,0.0,,0.0
cat__developer_8floor,0.0,0.0,,0.0,0.0,,0.0
cat__developer_4A Games,0.0,0.0,,0.0,0.0,,0.0
cat__developer_11 bit studios,0.0,0.0,,0.0,0.0,,0.0
cat__country_infrequent_sklearn,0.0,0.0,,0.0,0.0,,0.0
cat__country_TH,0.0,0.0,,0.0,0.0,,0.0
cat__country_ZA,0.0,0.0,,0.0,0.0,,0.0
cat__country_VN,0.0,0.0,,0.0,0.0,,0.0
cat__country_VI,0.0,0.0,,0.0,0.0,,0.0
cat__country_VE,0.0,0.0,,0.0,0.0,,0.0
cat__country_VA,0.0,0.0,,0.0,0.0,,0.0
cat__country_UY,0.0,0.0,,0.0,0.0,,0.0
cat__country_US,0.0,0.0,,0.0,0.0,,0.0
cat__country_UM,0.0,0.0,,0.0,0.0,,0.0
cat__country_UG,0.0,0.0,,0.0,0.0,,0.0
cat__country_UA,0.0,0.0,,0.0,0.0,,0.0
cat__country_TW,0.0,0.0,,0.0,0.0,,0.0
cat__country_TR,0.0,0.0,,0.0,0.0,,0.0
cat__country_ZW,0.0,0.0,,0.0,0.0,,0.0
cat__country_FI,0.0,0.0,,0.0,0.0,,0.0
cat__country_ES,0.0,0.0,,0.0,0.0,,0.0
cat__country_EG,0.0,0.0,,0.0,0.0,,0.0
cat__country_EE,0.0,0.0,,0.0,0.0,,0.0
cat__country_EC,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_tinyBuild,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_infrequent_sklearn,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_indie.io,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Ziggurat,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Xbox Game Studios,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Winged Cloud,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Warner Bros. Interactive Entertainment,0.0,0.0,,0.0,0.0,,0.0
cat__country_MISSING,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Warner Bros. Games,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_WB Games,0.0,0.0,,0.0,0.0,,0.0
cat__country_BR,0.0,0.0,,0.0,0.0,,0.0
cat__country_BG,0.0,0.0,,0.0,0.0,,0.0
cat__country_BE,0.0,0.0,,0.0,0.0,,0.0
cat__country_BA,0.0,0.0,,0.0,0.0,,0.0
cat__country_AZ,0.0,0.0,,0.0,0.0,,0.0
cat__country_AU,0.0,0.0,,0.0,0.0,,0.0
cat__country_AT,0.0,0.0,,0.0,0.0,,0.0
cat__country_AR,0.0,0.0,,0.0,0.0,,0.0
cat__country_AQ,0.0,0.0,,0.0,0.0,,0.0
cat__country_AL,0.0,0.0,,0.0,0.0,,0.0
cat__publisher_Warner Bros. Games;Warner Bros. Interactive Entertainment,0.0,0.0,,0.0,0.0,,0.0
cat__country_MD,0.0,0.0,,0.0,0.0,,0.0
cat__country_LV,0.0,0.0,,0.0,0.0,,0.0
cat__country_LT,0.0,0.0,,0.0,0.0,,0.0
cat__country_KZ,0.0,0.0,,0.0,0.0,,0.0
cat__country_KR,0.0,0.0,,0.0,0.0,,0.0
cat__country_KP,0.0,0.0,,0.0,0.0,,0.0
cat__country_KG,0.0,0.0,,0.0,0.0,,0.0
cat__country_JP,0.0,0.0,,0.0,0.0,,0.0
cat__country_IT,0.0,0.0,,0.0,0.0,,0.0
cat__country_IS,0.0,0.0,,0.0,0.0,,0.0
cat__country_IR,0.0,0.0,,0.0,0.0,,0.0
cat__country_IN,0.0,0.0,,0.0,0.0,,0.0
cat__country_FJ,0.0,0.0,,0.0,0.0,,0.0
cat__country_IE,0.0,0.0,,0.0,0.0,,0.0
cat__country_ID,0.0,0.0,,0.0,0.0,,0.0
cat__country_HU,0.0,0.0,,0.0,0.0,,0.0
cat__country_HR,0.0,0.0,,0.0,0.0,,0.0
cat__country_HM,0.0,0.0,,0.0,0.0,,0.0
cat__country_HK,0.0,0.0,,0.0,0.0,,0.0
cat__country_GT,0.0,0.0,,0.0,0.0,,0.0
cat__country_GS,0.0,0.0,,0.0,0.0,,0.0
cat__country_GR,0.0,0.0,,0.0,0.0,,0.0
